S0,K,T,r,sigma,iterations,standard_call,standard_put,antithetic_call,antithetic_put,bs_call,bs_put,standard_call_abs_error,standard_put_abs_error,antithetic_call_abs_error,antithetic_put_abs_error,standard_call_rel_error,standard_put_rel_error,antithetic_call_rel_error,antithetic_put_rel_error,standard_time,antithetic_time
100.0,100.0,1.0,0.05,0.2,100,8.159991113402405,5.229406287736156,11.20373139666711,6.015170736259401,10.450583572185565,5.573526022256971,2.290592458783159,0.3441197345208149,0.7531478244815446,0.44164471400243066,0.21918321048401704,0.061741836881469406,0.07206753759532267,0.07923973302336694,9.660003706812859e-05,4.739966243505478e-05
100.0,100.0,1.0,0.05,0.2,199,10.852262712146082,5.741677211485792,10.665887319694482,5.385610470312661,10.450583572185565,5.573526022256971,0.4016791399605175,0.168151189228821,0.21530374750891745,0.1879155519443101,0.03843604878005038,0.030169624858184304,0.020602078919492367,0.03371573958637671,6.92000612616539e-05,4.869978874921799e-05
100.0,100.0,1.0,0.05,0.2,398,10.741441679915543,5.553586203296187,10.190170736851185,5.699464034665672,10.450583572185565,5.573526022256971,0.2908581077299779,0.019939818960783562,0.26041283533438,0.12593801240870128,0.027831757501476043,0.0035775950235375476,0.024918496994509848,0.02259575211558864,6.779981777071953e-05,5.260016769170761e-05
100.0,100.0,1.0,0.05,0.2,794,9.921662897430815,5.283018790806975,10.578867854002757,5.777876645789338,10.450583572185565,5.573526022256971,0.5289206747547492,0.2905072314499959,0.12828428181719254,0.20435062353236688,0.050611592271505496,0.05212270119308719,0.012275322323494325,0.03666451411841012,8.380040526390076e-05,6.450014188885689e-05
100.0,100.0,1.0,0.05,0.2,1584,10.809157117185437,5.692250160245496,10.613656181127432,5.525681819597834,10.450583572185565,5.573526022256971,0.3585735449998726,0.11872413798852488,0.16307260894186726,0.047844202659137025,0.03431134180432021,0.021301441406107968,0.015604162946066308,0.008584189338684161,0.0001555001363158226,9.009987115859985e-05
100.0,100.0,1.0,0.05,0.2,3162,10.421697715042919,5.498861507907789,10.346568596725794,5.71760691440404,10.450583572185565,5.573526022256971,0.028885857142645577,0.07466451434918131,0.10401497545977101,0.14408089214706887,0.002764042499935205,0.01339627985067634,0.00995303034910021,0.02585094096119857,0.00020750006660819054,0.00013589998707175255
100.0,100.0,1.0,0.05,0.2,6309,10.540987997948788,5.587950184103066,10.45875347297647,5.544052653982826,10.450583572185565,5.573526022256971,0.09040442576322327,0.014424161846095629,0.008169900790905515,0.029473368274144818,0.00865065813203355,0.0025879778417639177,0.000781765031060071,0.005288100953767455,0.000354900024831295,0.00023479992523789406
100.0,100.0,1.0,0.05,0.2,12589,10.328357226382845,5.587848951572703,10.527627295926623,5.543856318919617,10.450583572185565,5.573526022256971,0.1222263458027193,0.01432292931573187,0.07704372374105795,0.02966970333735386,0.011695647899321827,0.0025698147381990463,0.007372193448231096,0.005323327318984915,0.0007659001275897026,0.0005104001611471176
100.0,100.0,1.0,0.05,0.2,25118,10.57194887810403,5.5721873363123,10.503639297916486,5.5668757281823105,10.450583572185565,5.573526022256971,0.12136530591846473,0.001338685944670459,0.05305572573092121,0.0066502940746602235,0.01161325633924223,0.00024018654247322688,0.005076819429694824,0.0011931933300577326,0.001421900000423193,0.0008776998147368431
100.0,100.0,1.0,0.05,0.2,50118,10.413677879301721,5.562421741396831,10.415035274542888,5.588905177316381,10.450583572185565,5.573526022256971,0.0369056928838436,0.011104280860140037,0.035548297642677085,0.01537915505941001,0.0035314480410518732,0.001992326009746235,0.0034015610130413753,0.002759322374740129,0.0027485000900924206,0.0016939998604357243
100.0,100.0,1.0,0.05,0.2,100000,10.420072225077885,5.559012017820146,10.457024970096134,5.545820326437252,10.450583572185565,5.573526022256971,0.03051134710768011,0.01451400443682438,0.00644139791056908,0.02770569581971838,0.0029195830928415004,0.002604097366526156,0.0006163672933742176,0.0049709458086461215,0.005395399872213602,0.004466600250452757
100.0,100.0,1.0,0.05,0.2,199526,10.480451081348704,5.559001930573626,10.432839486749453,5.575425593664676,10.450583572185565,5.573526022256971,0.029867509163139516,0.01452409168334512,0.017744085436111945,0.0018995714077050252,0.002857975246725215,0.0026059072166067796,0.00169790378819975,0.00034082040706715915,0.014001999981701374,0.00990170007571578
