step,time_remaining,exercise_boundary,in_the_money_paths
0,0.2,,0
1,0.196,,1870
2,0.192,,9741
3,0.188,,17301
4,0.184,695.6967814442696,23900
5,0.18000000000000002,693.8390031567565,28908
6,0.17600000000000002,,33125
7,0.17200000000000001,691.3227461344019,36767
8,0.168,689.7971328720465,39967
9,0.164,693.3536313004921,42610
10,0.16,682.3126808208043,44952
11,0.15600000000000003,682.1923593000664,46969
12,0.15200000000000002,,48812
13,0.14800000000000002,676.3426586260063,50345
14,0.14400000000000002,682.3084970565683,51722
15,0.14,674.1810861289556,53153
16,0.136,,54442
17,0.132,680.828170821586,55628
18,0.128,687.6634543272133,56691
19,0.12400000000000001,683.4374443241846,57679
20,0.12000000000000001,682.7443848033282,58516
21,0.116,686.6397535792852,59396
22,0.11200000000000002,687.6297090486479,60292
23,0.10800000000000001,686.6172635347946,61250
24,0.10400000000000001,690.1707605605,61889
25,0.1,690.6073044032771,62622
26,0.096,691.5086066562318,63122
27,0.09200000000000001,689.9015467327139,63800
28,0.08800000000000001,691.2205308948478,64391
29,0.084,691.7169893252575,64959
30,0.08000000000000002,691.1336092257699,65378
31,0.07600000000000001,693.4203857794008,65694
32,0.07200000000000001,695.8948980429594,66188
33,0.068,694.7381235966126,66541
34,0.064,700.1751101000934,67042
35,0.06,702.0067220803163,67402
36,0.055999999999999994,703.377119539065,67822
37,0.05200000000000002,704.5579652792206,68162
38,0.048000000000000015,706.1617573107517,68398
39,0.04400000000000001,706.9970530914128,68790
40,0.04000000000000001,707.671910920499,69124
41,0.036000000000000004,710.0408371127057,69512
42,0.032,712.0707689260325,69635
43,0.027999999999999997,712.3107647371871,70074
44,0.02400000000000002,713.7549376655172,70334
45,0.020000000000000018,715.3107315419045,70653
46,0.016000000000000014,716.4091322786759,70944
47,0.01200000000000001,716.7682035798864,71153
48,0.008000000000000007,719.1752212221726,71404
49,0.0040000000000000036,721.9574636683799,71629
50,0.0,,0
