probability,empirical,simulated
0.001,-0.1111511713745398,-0.10328059114641375
0.005,-0.09010705959611275,-0.08489785499558161
0.01,-0.07899500968856332,-0.07565159722548706
0.02,-0.06778501642329787,-0.06674966245553683
0.03,-0.06114010426155586,-0.06085642576006672
0.04,-0.05599760599128303,-0.05630344716817328
0.05,-0.05190321506933406,-0.05280517292061511
0.060000000000000005,-0.04835692178621853,-0.04957826725775111
0.06999999999999999,-0.045491104327402124,-0.046815142786179514
0.08,-0.042909422433794406,-0.044417043462368945
0.09,-0.04052976947167124,-0.042422056167853404
0.09999999999999999,-0.03841895793005304,-0.040419509164217715
0.11,-0.03649136429170762,-0.038464125654096015
0.12,-0.03455491843307058,-0.03674176891995354
0.13,-0.0327814079841015,-0.03510004739293235
0.14,-0.03126719156218306,-0.03348303351366089
0.15000000000000002,-0.029706465569977112,-0.03199494788391469
0.16,-0.028342042770782463,-0.030404975604296513
0.17,-0.026945627772281773,-0.02905465335735112
0.18000000000000002,-0.02559225991043267,-0.02767003111078586
0.19,-0.02437060879664508,-0.026379067606873818
0.2,-0.023152028541900547,-0.02502726015504558
0.21000000000000002,-0.02191810195536522,-0.023856407326522014
0.22,-0.020676360911809685,-0.02271728896819091
0.23,-0.01965936101770107,-0.021577689116407485
0.24000000000000002,-0.018537152487653044,-0.020511304569007766
0.25,-0.017410089490815128,-0.01934251653556631
0.26,-0.01626134516674501,-0.018296100899107215
0.27,-0.0152636222576562,-0.017187830795567644
0.28,-0.01424079065889451,-0.01616446221690869
0.29000000000000004,-0.013305501125226344,-0.015204347288625212
0.3,-0.012321713240263855,-0.01418605493245708
0.31,-0.01128924784571387,-0.013193667649869466
0.32,-0.010350586156373751,-0.012230294739421952
0.33,-0.009312704426345051,-0.01127879386029514
0.34,-0.008452153584789795,-0.010316781777847416
0.35000000000000003,-0.007558998832267823,-0.00940028975078224
0.36000000000000004,-0.006695903624055184,-0.008436213940137036
0.37,-0.005703112928745487,-0.0075355690757957314
0.38,-0.004823596577051,-0.006660165877093082
0.39,-0.004021767155766421,-0.005753878428656074
0.4,-0.0031266767198506046,-0.004877404073806052
0.41000000000000003,-0.002222781426601159,-0.004015577373317477
0.42000000000000004,-0.0013706773984899082,-0.003185638314857939
0.43,-0.0004884662973724299,-0.0023368902595557813
0.44,0.00031404557283117897,-0.0014701995479530089
0.45,0.0011040954829151677,-0.0005685390385103692
0.46,0.0019312996416035427,0.0002969073930787739
0.47000000000000003,0.0027765462168810873,0.001135816856809695
0.48000000000000004,0.003603710683114621,0.0020842104794724543
0.49,0.004399941816590292,0.003011417225864147
0.5,0.005190528568852049,0.003872618871552151
0.51,0.006049056545474325,0.004733820517240215
0.52,0.006843442726642443,0.0056610272636318255
0.53,0.0077061479350369775,0.006609420886294586
0.54,0.008519058508754862,0.0074483303500255844
0.55,0.009293942666545487,0.008313776781614724
0.56,0.01010870102719274,0.009215437291057367
0.5700000000000001,0.010912286941400555,0.010082128002660064
0.5800000000000001,0.011737321168919393,0.010930876057962299
0.59,0.012513108793943113,0.0117608151164218
0.6,0.013339637803936455,0.012622641816910288
0.61,0.01417845003090468,0.013499116171760393
0.62,0.014984955376104931,0.014405403620197533
0.63,0.015817813112543346,0.015280806818899925
0.64,0.016724467035269443,0.016181451683241425
0.65,0.01755946009961944,0.017145527493886578
0.66,0.01840219899098049,0.018062019520951732
0.67,0.019267616765877064,0.019024031603399542
0.68,0.02017982071731165,0.019975532482526294
0.6900000000000001,0.021017780634954842,0.0209389053929738
0.7000000000000001,0.021870314724137162,0.021931292675561393
0.7100000000000001,0.022842233911336902,0.022949585031729582
0.72,0.023746581660910093,0.02390969996001304
0.73,0.024681041407104826,0.02493306853867197
0.74,0.025629321929223556,0.02604133864221155
0.75,0.026554652341394647,0.027087754278670655
0.76,0.027589178272000116,0.028256542312112113
0.77,0.028737973602199634,0.02932292685951181
0.78,0.029767556993002292,0.03046252671129521
0.79,0.030866063430904495,0.03160164506962627
0.8,0.03198181116956624,0.032772497898149996
0.81,0.03317512353846163,0.034124305349978054
0.8200000000000001,0.034425589529977735,0.035415268853890104
0.8300000000000001,0.035682680173698376,0.036799891100455374
0.8400000000000001,0.036918061945905696,0.03815021334740091
0.85,0.0382616167342317,0.03974018562701903
0.86,0.0396764458877033,0.04122827125676528
0.87,0.0411941209100175,0.04284528513603666
0.88,0.04267210901651019,0.04448700666305789
0.89,0.0445562474124221,0.046209363397200255
0.9,0.04629812578905712,0.04816474690732218
0.91,0.04843444516299088,0.05016729391095772
0.92,0.0507177541789091,0.05216228120547322
0.93,0.05314572720968773,0.05456038052928382
0.9400000000000001,0.055821345501159234,0.05732350500085547
0.9500000000000001,0.059043497271715595,0.06055041066371944
0.9600000000000001,0.06287004952534048,0.06404868491127748
0.97,0.06775959250397164,0.06860166350317091
0.98,0.0749298044388264,0.07449490019864116
0.99,0.08800678812552128,0.08339683496859153
0.995,0.10197644147598413,0.09264309273868582
0.999,0.13665879287130858,0.11102582888951774
